Reference #,START DATE,END DATE,VendorNumber,Category MATERIAL GROUP,Category NAME,Vendor performance,ParentOANumber2,OA number,RestrictedUSVendor,PurchasingGroupNumber,AutoPOCategory,MaxAutoPOValueEx,AutoPOType,AuthorizationGroupName,AribaSupplierGroup
397,2012-06-14,2021-12-13,57165537,2862,Vegetation Mgmt,Poor,439999712,439999712,N,108,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
398,2012-06-14,2021-12-13,57165537,2862,Vegetation Mgmt,Poor,439999722,439999722,N,108,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2785,2020-12-14,2025-12-13,59682137,2642,Contingent Labour,Average,440002356,440002356,N,135,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
400,2021-12-29,2023-12-13,59273337,3602,Not address by SC,Excellent,439999743,439999743,N,126,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
401,2012-06-14,2024-04-08,54673537,2862,Vegetation Mgmt,Excellent,439999744,439999744,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
402,2012-06-14,2024-12-13,55930837,2862,Vegetation Mgmt,Developing,439999748,439999748,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
403,2012-09-14,2023-03-31,49702937,2722,Field Waste Mgmt,Good,439999926,439999926,N,110,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
404,2012-06-14,2024-12-13,50800637,2862,Vegetation Mgmt,Excellent,439999749,439999749,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
405,2013-12-14,2024-12-13,50800637,2862,Vegetation Mgmt,Developing,440000555,440000555,N,119,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
2786,2020-12-07,2025-12-13,59682237,2792,Site Safety Svcs,Developing,440002347,440002347,N,141,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2787,2020-12-14,2025-12-13,59683237,2642,Contingent Labour,Poor,440002341,440002341,N,135,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
408,2012-06-14,2024-12-13,53447537,2862,Vegetation Mgmt,Excellent,439999750,439999750,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
409,2012-06-14,2024-12-13,54933037,2862,Vegetation Mgmt,Excellent,439999752,439999752,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
410,2013-12-14,2024-12-13,54933037,2862,Vegetation Mgmt,Developing,440000578,440000578,N,119,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
411,2012-06-14,2024-12-13,55178137,2862,Vegetation Mgmt,Developing,439999753,439999753,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
412,2012-06-14,2024-12-13,53255337,2862,Vegetation Mgmt,Poor,439999754,439999754,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
413,2013-09-15,2024-12-13,53255337,2862,Vegetation Mgmt,Poor,440000560,440000560,N,119,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
2922,2022-12-14,2025-12-13,59758637,2632,Consulting Svcs,Good,600000885,600000885,N,102,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2927,2022-09-18,2025-12-13,59765137,2702,Equip Rental,Good,600000654,600000654,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
416,2012-06-14,2024-12-13,53710037,2862,Vegetation Mgmt,Average,439999755,439999755,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
417,2013-12-14,2024-12-13,53710037,2862,Vegetation Mgmt,Average,440000562,440000562,N,119,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
418,2012-07-04,2021-05-15,49706038,2702,Equip Rental,Developing,439999860,439999860,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
419,2012-06-14,2024-12-13,51780144,2862,Vegetation Mgmt,Poor,439999758,439999758,N,119,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2945,2021-11-29,2025-12-13,59823437,2702,Equip Rental,Good,600000108,600000108,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
421,2012-06-14,2024-12-13,57191637,2862,Vegetation Mgmt,Poor,439999760,439999760,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
422,2012-07-31,2021-12-13,57191637,2862,Vegetation Mgmt,Developing,439999871,439999871,N,108,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
423,2015-12-14,2022-03-14,57191637,2862,Vegetation Mgmt,Excellent,440001201,440001201,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
424,2015-12-14,2021-12-13,57191637,2862,Vegetation Mgmt,Poor,440001202,440001202,N,119,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
425,2022-03-15,2023-05-09,57191637,2862,Vegetation Mgmt,Good,600000312,600000312,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
426,2012-06-14,2024-12-13,57191137,2862,Vegetation Mgmt,Average,439999761,439999761,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
427,2012-06-14,2024-12-13,51192237,2862,Vegetation Mgmt,Poor,439999762,439999762,N,119,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2983,2022-12-12,2025-12-13,59937937,1692,IT,Average,600000795,600000795,Y,129,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
429,2012-06-14,2024-12-13,55629337,2862,Vegetation Mgmt,Poor,439999763,439999763,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
430,2013-10-16,2024-12-13,55629337,2862,Vegetation Mgmt,Good,440000498,440000498,N,119,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
431,2013-09-15,2024-12-13,55629337,2862,Vegetation Mgmt,Poor,440000570,440000570,N,119,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
3082,2024-03-30,2025-12-13,60294437,2862,Vegetation Mgmt,Average,600001536,600001536,N,141,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
3100,2024-09-02,2025-12-13,60329137,2702,Equip Rental,Good,600001737,600001737,N,112,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
434,2012-06-14,2024-12-13,55018937,2862,Vegetation Mgmt,Excellent,439999765,439999765,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
435,2012-06-14,2024-12-13,55670237,2862,Vegetation Mgmt,Poor,439999766,439999766,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
436,2013-12-14,2024-12-13,55670237,2862,Vegetation Mgmt,Average,440000571,440000571,N,119,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
3155,2025-04-29,2025-12-13,60463737,2682,Environment Svc,Good,600002136,600002136,N,117,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
804,2013-04-15,2025-12-14,55905937,2652,Corporate Svcs,Average,440000261,440000261,N,135,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
439,2012-06-14,2022-12-13,54626838,2862,Vegetation Mgmt,Excellent,439999767,439999767,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
440,2013-12-14,2022-12-13,54626838,2862,Vegetation Mgmt,Excellent,440000577,440000577,N,119,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
441,2012-06-14,2024-12-13,56145638,2862,Vegetation Mgmt,Average,439999768,439999768,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
442,2012-06-14,2024-12-13,51353338,2862,Vegetation Mgmt,Excellent,439999769,439999769,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
443,2013-12-14,2024-12-13,51353338,2862,Vegetation Mgmt,Excellent,440000580,440000580,N,119,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
444,2012-06-14,2024-12-13,55184937,2862,Vegetation Mgmt,Poor,439999770,439999770,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
445,2013-09-15,2021-04-14,55184937,2622,Construction Equip,Good,440000301,440000301,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
446,2013-10-16,2024-12-13,55184937,2862,Vegetation Mgmt,Average,440000497,440000497,N,108,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
447,2014-09-15,2022-09-14,55184937,2732,General Construction,Excellent,440000974,440000974,N,131,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Invoice First
448,2012-06-06,2022-11-12,50117139,2672,Engineering & Proj,Excellent,439999790,439999790,N,137,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
449,2012-06-06,2022-11-12,50117139,2672,Engineering & Proj,Excellent,439999806,439999806,N,140,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
450,2012-06-06,2022-11-12,50117139,2672,Engineering & Proj,Developing,439999838,439999838,N,117,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
451,2012-03-24,2022-11-12,50117139,2672,Engineering & Proj,Excellent,440000008,440000008,N,119,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
809,2013-06-15,2025-12-14,55025741,2652,Corporate Svcs,Good,440000266,440000266,N,135,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2847,2021-04-15,2026-01-06,59705637,2622,Construction Equip,Good,440002616,440002616,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
454,2012-06-06,2022-11-12,56212846,2672,Engineering & Proj,Average,439999796,439999796,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2281,2021-08-07,2026-01-11,59199937,2612,Civil UG Construct,Good,599999774,599999774,N,138,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
456,2012-06-06,2024-03-13,52050238,2672,Engineering & Proj,Average,439999822,439999822,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
64,2020-11-13,2026-01-12,49614251,1642,Diesel/Svc Generator,Poor,440002325,440002325,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
458,2012-06-06,2024-03-13,56065137,2672,Engineering & Proj,Poor,439999826,439999826,N,119,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
248,2017-12-14,2026-01-12,49644439,2772,Property & Facility,Average,440001640,440001640,N,139,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
460,2012-06-06,2024-03-13,52923838,2672,Engineering & Proj,Poor,439999848,439999848,N,119,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
461,2020-12-28,2022-10-04,52923838,2672,Engineering & Proj,Excellent,440002374,440002374,N,137,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
462,2012-05-15,2021-09-14,55273237,2642,Contingent Labour,Developing,439999849,439999849,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
520,2014-01-13,2026-01-12,49748186,1672,Fleet,Average,440000598,440000598,N,111,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
464,2012-05-15,2021-06-16,56986137,2642,Contingent Labour,Poor,439999857,439999857,N,126,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
590,2019-04-15,2026-01-12,49796840,2822,Traffic Mgmt Svc,Poor,440001921,440001921,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
466,2012-07-04,2021-05-15,52633239,2702,Equip Rental,Poor,439999864,439999864,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
591,2022-04-15,2026-01-12,49796840,2822,Traffic Mgmt Svc,Good,600000390,600000390,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1102,2025-02-13,2026-01-12,50232437,1832,EV Equip & Services,Poor,600002051,600002051,N,117,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2645,2013-07-16,2026-01-12,59543437,2672,Engineering & Proj,Poor,440000465,440000465,N,139,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2789,2021-01-13,2026-01-12,59683737,2832,Training Svcs,Poor,440002351,440002351,N,135,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2969,2025-08-24,2026-01-12,59892637,2812,Tech/Specialized Svc,Poor,600002337,600002337,N,112,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
771,2013-06-01,2026-01-16,50494937,2752,Line Svc,Good,440000227,440000227,N,114,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
473,2012-07-04,2021-05-15,52919738,2702,Equip Rental,Good,439999867,439999867,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
474,2015-08-15,2021-08-15,52919738,2722,Field Waste Mgmt,Poor,440001110,440001110,N,129,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
475,2012-03-13,2021-05-15,55531137,2702,Equip Rental,Excellent,439999868,439999868,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
476,2012-07-04,2021-05-15,57235437,2702,Equip Rental,Good,439999869,439999869,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
477,2012-07-30,2021-07-30,57250737,2682,Environment Svc,Average,439999870,439999870,N,131,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
478,2012-10-02,2023-04-12,50988339,2652,Corporate Svcs,Developing,439999891,439999891,N,131,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
479,2019-05-15,2025-05-15,50988339,2652,Corporate Svcs,Excellent,440001945,440001945,N,103,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
773,2013-06-01,2026-01-16,50494937,2752,Line Svc,Excellent,440000532,440000532,N,114,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1978,2019-02-13,2026-01-19,55179337,2722,Field Waste Mgmt,Poor,440001875,440001875,N,139,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1979,2019-02-13,2026-01-19,55179337,2722,Field Waste Mgmt,Excellent,440001876,440001876,N,139,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
483,2012-10-15,2021-04-14,50856537,2622,Construction Equip,Excellent,439999898,439999898,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
484,2012-10-15,2021-04-14,50953338,2622,Construction Equip,Developing,439999899,439999899,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
485,2012-10-15,2021-04-14,51010337,2622,Construction Equip,Poor,439999900,439999900,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
486,2012-10-15,2021-04-14,51563337,2622,Construction Equip,Poor,439999906,439999906,N,104,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1980,2026-01-20,2026-01-23,55179337,2722,Field Waste Mgmt,Good,600002599,600002599,N,139,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1981,2026-01-20,2026-01-23,55179337,2722,Field Waste Mgmt,Average,600002600,600002600,N,139,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
489,2012-10-15,2021-04-14,52211338,2622,Construction Equip,Good,439999907,439999907,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
490,2012-10-15,2021-04-14,52963539,2622,Construction Equip,Excellent,439999908,439999908,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
491,2012-10-15,2021-04-14,53255837,2622,Construction Equip,Developing,439999910,439999910,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
492,2012-10-15,2021-04-14,56726737,2622,Construction Equip,Excellent,439999911,439999911,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
26,2018-08-15,2026-02-09,50204438,1822,Wire And Cable,Excellent,429999522,429999522,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
101,2018-08-15,2026-02-09,50204438,1812,Telecom Equip,Developing,440001801,440001801,N,101,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
495,2012-10-15,2021-04-14,54212037,2622,Construction Equip,Poor,439999913,439999913,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
496,2012-10-15,2021-04-14,54983337,2622,Construction Equip,Good,439999916,439999916,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
497,2012-10-15,2021-04-14,55113837,2622,Construction Equip,Excellent,439999917,439999917,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
498,2012-10-15,2021-04-14,55470337,2622,Construction Equip,Average,439999918,439999918,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
499,2012-10-15,2021-04-14,57282637,2622,Construction Equip,Excellent,439999919,439999919,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
500,2012-10-15,2021-04-14,57282537,2622,Construction Equip,Good,439999920,439999920,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
271,2010-04-26,2026-02-11,52719538,2712,Equip Test/Maint/Rep,Average,439999459,439999459,Y,111,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
502,2010-12-13,2023-10-10,54880140,1692,IT,Average,439999925,439999925,N,131,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
42,2020-06-27,2026-02-12,54977338,1712,Metering & Network,Developing,429999556,429999556,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
48,2021-02-13,2026-02-12,49636747,1602,Aux Elec Equip,Poor,429999563,429999563,N,707,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
505,2012-10-29,2022-12-13,57334737,2702,Equip Rental,Developing,439999935,439999935,N,133,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
49,2021-02-13,2026-02-12,49636747,1602,Aux Elec Equip,Average,429999565,429999565,N,704,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
120,2017-02-13,2026-02-12,59055537,1722,MRO-Gen Indus/Safety,Poor,429999487,429999487,N,707,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
146,2024-03-14,2026-02-12,54343437,1662,Electrical Component,Good,600001435,600001435,N,703,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
509,2012-11-04,2022-11-12,54303737,2802,Specialized Trades,Good,439999943,439999943,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
174,2021-02-13,2026-02-12,49636747,1722,MRO-Gen Indus/Safety,Good,599999455,440002372,N,701,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
175,2021-02-13,2026-02-12,49636747,1722,MRO-Gen Indus/Safety,Average,599999455,440002375,N,131,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
176,2021-04-16,2026-02-12,49636747,1722,MRO-Gen Indus/Safety,Poor,599999455,599999455,N,701,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
513,2014-07-27,2024-09-13,49736948,2652,Corporate Svcs,Average,440001619,440001619,N,324,No Auto-PO,"10,000,000.00 CAD",#,SITE C,
177,2021-11-06,2026-02-12,49636747,1722,MRO-Gen Indus/Safety,Good,599999455,599999939,N,707,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
647,2023-02-13,2026-02-12,50034837,2602,Aviation Svcs,Average,600000914,600000914,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
652,2023-02-13,2026-02-12,50111237,2602,Aviation Svcs,Excellent,600000915,600000915,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
654,2023-02-13,2026-02-12,50122837,2602,Aviation Svcs,Good,600000934,600000934,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
658,2023-02-13,2026-02-12,50153037,2602,Aviation Svcs,Excellent,600000911,600000911,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
660,2023-02-13,2026-02-12,55528139,2602,Aviation Svcs,Poor,600000913,600000913,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
662,2023-02-13,2026-02-12,50432437,2602,Aviation Svcs,Excellent,600000931,600000931,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
665,2023-02-13,2026-02-12,51018938,2602,Aviation Svcs,Average,600000929,600000929,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
667,2023-02-13,2026-02-12,51577837,2602,Aviation Svcs,Good,600000933,600000933,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
687,2023-02-13,2026-02-12,56498337,2602,Aviation Svcs,Excellent,600000910,600000910,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
690,2023-02-13,2026-02-12,55325937,2602,Aviation Svcs,Average,600000930,600000930,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
692,2023-02-13,2026-02-12,55504737,2602,Aviation Svcs,Developing,600000912,600000912,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
526,2019-12-14,2023-12-27,49756737,2702,Equip Rental,Average,440002171,440002171,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
695,2023-05-01,2026-02-12,54912437,2602,Aviation Svcs,Poor,600001055,600001055,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1448,2021-02-06,2026-02-12,50977538,2752,Line Svc,Poor,440002385,440002385,N,114,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1585,2022-08-28,2026-02-12,57088637,2732,General Construction,Excellent,600000621,600000621,N,133,Exception,"10,000,000.00 CAD",NB,UNSECURED,Service Entry Sheet First
1586,2022-09-04,2026-02-12,57088637,2732,General Construction,Excellent,600000621,600000635,N,133,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
531,2012-12-29,2023-09-14,50957638,2732,General Construction,Good,439999980,439999980,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1587,2022-09-04,2026-02-12,57088637,2732,General Construction,Average,600000621,600000636,N,133,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1588,2022-09-04,2026-02-12,57088637,2732,General Construction,Good,600000621,600000637,N,133,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1589,2022-09-04,2026-02-12,57088637,2732,General Construction,Poor,600000621,600000638,N,133,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
535,2013-01-01,2021-09-14,54315937,2782,Quality Mgmt/Inspect,Developing,439999982,439999982,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1590,2024-12-07,2026-02-12,57088637,2732,General Construction,Poor,600000621,600001894,N,133,No Auto-PO,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1708,2025-02-13,2026-02-12,52065337,2682,Environment Svc,Average,600002022,600002022,N,104,Exception,"10,000,000.00 CAD",FO,NON-CONFIDENTIAL,Service Entry Sheet First
538,2013-01-21,2022-09-14,50035437,2812,Tech/Specialized Svc,Average,439999987,439999987,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1858,2024-02-18,2026-02-12,57370637,2792,Site Safety Svcs,Developing,600001388,600001388,N,126,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2141,2023-02-13,2026-02-12,54345637,2602,Aviation Svcs,Good,600000935,600000935,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2197,2021-02-06,2026-02-12,58838137,2752,Line Svc,Average,440002377,440002377,N,114,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
542,2013-01-12,2024-09-13,49791938,2812,Tech/Specialized Svc,Poor,439999988,439999988,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
2199,2021-02-06,2026-02-12,57645637,2752,Line Svc,Average,440002379,440002379,N,114,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2201,2021-02-06,2026-02-12,59273237,2752,Line Svc,Poor,440002380,440002380,N,114,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
545,2013-09-15,2021-04-14,51935037,2622,Construction Equip,Poor,440000340,440000340,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
546,2021-04-15,2024-04-13,51935037,2622,Construction Equip,Developing,440002570,440002570,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
547,2020-03-14,2024-11-29,51935037,2612,Civil UG Construct,Excellent,599999456,440002191,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
548,2021-04-16,2024-11-29,51935037,2612,Civil UG Construct,Poor,599999456,599999456,N,138,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
549,2021-12-14,2024-12-19,51935037,2822,Traffic Mgmt Svc,Good,599999947,599999947,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
